Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
109826391892268,Civic Media,Civic Media Inc.,385,6
408003205733637,Luke Drake for N.H.,Luke Drake for N.H.,385,2
104657098840062,Rachel For Danbury's 138,Rachel for Danbury,385,8
281534035045137,John Anter for State Representative,CTE Charles John Anter,385,3
523698037734731,Alliance For Full Acceptance,ALLIANCE FOR FULL ACCEPTA,385,1
377251825471795,Sheila Dibb for MA State Senate - Worcester Hampshire,Sheila Dibb for MA State Senate - Worcester Hampshire,385,1
111743953944213,CABQ Info,CABQ Info,385,1
311436165395072,Michelle4LaMirada,Michelle Velasquez Bean For City Council 2024,384,2
105464364530078,Dan Andersson for SD senate,DAN ANDERSSON FOR SOUTH DAKOTA,384,10
328875733651576,Re-elect Mandy Meisner for Anoka County Commissioner,Mandy Meisner for Anoka County,384,4
115092786853243,Yolanda Edmonds Thomas 4 City Council,Yolanda Edmonds Thomas 4 City Council,384,4
218560684840012,Ivan Nino for El Paso,Ivan Nino for El Paso,384,3
109442684013246,Ted Weill for City Council,Committee to Re-Elect Ted Weill to City Council 2024,383,6
463801433472789,George Alvarez for NYS Assembly,George Alvarez for NY,383,14
108207958572038,Stephen Ferguson for Council,Friends of Stephen Ferguson,383,4
241560575961951,José Luis Solache,Friends of Solache for Assembly 2024,383,3
341635515709334,Squabble Designs,Squabble Designs LLC,383,15
635850443292528,Nasty Woman Coloring,Nasty Woman Coloring,383,4
387773014409049,Hipp for MN House,Julia Hipp for House Volunteer Committee,382,4
352584891265149,Leroy Tripette,Leroy Tripette,382,7
104708159114375,Kiehne for Missouri,Kiehne for Missouri,382,13
314796233506,Pine Township Democratic Committee,Pine Township Democratic Committee,382,8
1027156310748344,Commons,These ads ran without a disclaimer,382,1
2083412251928861,My Buckhannon,My Town WV,381,38
405338026000583,Jeff West Vote Yes Committee,JW Bond Committee INC,381,3
261951940219,Goldman Environmental Prize,Goldman Environmental Foundation,381,3
283474061514648,Ralph Ambrosio for Albany County District Attorney,Ralph Ambrosio for Albany County DA,381,7
520079581501731,"Office of Commissioner Lesley Briones, Precinct 4",COUNTY OF HARRIS PRECINCT 4,381,4
109944290704309,Liz Reyer for 52A,Liz Reyer Election Committee,380,4
320037781482357,Weare NH Republicans,Weare NH Republicans,380,2
129714393714815,Justin Farnsworth - Dorchester District 2 School Board,Justin Farnsworth - Dorchester District 2 School Board,380,8
101958878206138,Peach State Values,Peach State Values PAC,380,4
457153254137297,Elect Brian Perez District 4 Monterey,Committee To Elect Brian Perez,380,4
416011824920605,Vote Carlos,CARLOS AGUILERA COMMITTEE TO ELECT FOR SBCCD TRUSTEE,380,1
930397083710826,Kevin Schartner for County Council,Kevin Schartner for County Council,380,6
166194476728392,Center Street,"Hachette Book Group, Inc.",380,7
90715758947,Clinton County Democrats,Clinton County Democratic Party,379,10
95787999238,Democratic Party of Sacramento County,SACRAMENTO COUNTY DEMOCRATIC CENTRAL COMMITTEE: UNITED CAMPAIGN COMMITTEE-FEDERAL,379,7
169034376562081,Valley Air District,San Joaquin Valley Air Pollution Control District,379,1
114563585306991,Talk 1260 KTRC,SANTAFE.COM,379,4
101006338181355,Rob Coleman For Council,Rob Coleman for City Council,379,7
300194069842228,Hughes for Howell,Hughes For Howell,379,4
121438681059462,Protect Peace,"Protect Peace, Inc.",379,8
109070922275518,Born and Raised in Vegas,Free & Fair PAC,379,8
273739852798599,RYAM,Rayonier Advanced Materials,379,6
119953292796,Jim Banks,BANKS FOR SENATE,379,3
310429008980481,Eric Van Lancker,Eric Van Lancker,379,6
628423320573742,Vote Run Lead,VOTERUNLEAD,378,4
106708294260236,Amanda Radke,Amanda Radke,378,13
357146712413,Olivia Diaz,City of Las Vegas,378,4
108544182231379,Economic Growth Committee,Economic Growth Committee,378,29
100690044889271,State Attorney Monique H. Worrell - Ninth Judicial Circuit,State Attorney Monique H. Worrell - Ninth Judicial Circuit,377,11
100897639227559,TJ Andrews for GT County Commission,Committee to Elect T. J. Andrews,377,6
341079829091907,Trumpland,Trumpland,377,8
393717010498120,Cunningham for City Council,CUNNINGHAM FOR CITY COUNCIL    AMANDA CUNNINGHAM,377,27
205357469336467,Tracy Jones for Iowa,Tracy Jones for Iowa,377,4
100301488364983,"Anna Smith, Leander ISD Board of Trustee - Place 4",Anna Smith for LISD,377,8
219616424561501,Fox For Vista,Fox For City Council 2024,377,8
181868731836548,Administer Justice,Administer Justice,377,32
103774214552877,Fox Print + Digital Strategies,Fox Print + Digital Strategies,376,18
818453575207090,Saugerties Republican Committee,Saugerties Republican Committee,376,3
258202767384907,PHG Region 2 ODCP Regional Coordinators,Potomac Highlands Guild,376,16
231212323419822,Steve William Laible,The Kodel Group LLC,376,13
117205080124077,Good News Milwaukee,Respect Initiative,376,27
1141861475950798,Texoma Cowboy Church,These ads ran without a disclaimer,375,2
1502862916519983,Will County Democratic Party,Will County Democratic Central Cmte,375,6
209643102232444,Fremont Firefighters Local 1689,Fremont Firefighters Local 1689,375,2
207333262468608,Blackford Solar & Wind,Blackford Solar & Wind,375,4
1837839409837481,Luke Muszkiewicz for Montana HD 79,Luke for MT HD 79,375,5
409735118894788,"John Buckland for Yuba City Council, District. 5","John Buckland for Yuba City Council District 5 2024, ID#1474848",375,5
1665113170467524,Sites Reservoir Project,Sites Project Authority,375,1
111612117292625,Daniella Lopez Valdez for BISD Trustee Place 5,Daniella Lopez Valdez for BISD Trustee Place 5,375,6
299042310989968,Equity Solar,These ads ran without a disclaimer,375,1
403014172889278,Stand with IVF,Stand with IVF,375,12
